asserter,assertionId,assertionTimestamp,bond,currency,disputeHash,disputeTimestamp,disputer,expirationTime,id,settlementResolution,settlementTimestamp,currencySymbol,bondUSD,wasDisputed,isSettled,timeToDispute,timeToSettlement,asserterWon,disputerWon
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x637b1aa58d9de5050e20273ead6f70018c311574246b7834febd1401b308d7d8,2025-03-30 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-31 22:37:23,0x637b1aa58d9de5050e20273ead6f70018c311574246b7834febd1401b308d7d8,True,2025-03-31 22:42:35,USDC,599.94,False,True,,86712.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0xd1dfb256d4fed31b9367470bef3f6daad044931ba9e9726dc325eed8f39dace2,2025-03-29 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-30 22:37:23,0xd1dfb256d4fed31b9367470bef3f6daad044931ba9e9726dc325eed8f39dace2,True,2025-03-30 22:37:47,USDC,599.94,False,True,,86424.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x255e4a4445c4f4d13b65abd20203c841103b6260a24fb00f7df782cc5d704466,2025-03-28 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-29 22:37:23,0x255e4a4445c4f4d13b65abd20203c841103b6260a24fb00f7df782cc5d704466,True,2025-03-29 22:37:35,USDC,599.94,False,True,,86412.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x630a014b608e3818b4c26602b451f6dd12a63c5db3fea0673a7a99aeb9e27ad8,2025-03-27 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-28 22:37:23,0x630a014b608e3818b4c26602b451f6dd12a63c5db3fea0673a7a99aeb9e27ad8,True,2025-03-28 22:37:35,USDC,599.94,False,True,,86412.0,True,False
0x33965f7d08f61a62b86c1ab9be5d82c42f4c3081,0x544463fc14c5672a35460260657d0ef2e20a9161fd5c3ef26f695fb97083f215,2025-03-27 00:02:59,2e+18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,,2025-03-30 00:02:59,0x544463fc14c5672a35460260657d0ef2e20a9161fd5c3ef26f695fb97083f215,True,2025-03-30 00:07:35,WETH,3689.3986,False,True,,259476.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0xa2638a15123b5d2c3e2989f464e93d1db4810f32464e1a858d50747b02b2f361,2025-03-26 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-27 22:37:23,0xa2638a15123b5d2c3e2989f464e93d1db4810f32464e1a858d50747b02b2f361,True,2025-03-27 22:37:35,USDC,599.94,False,True,,86412.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x8b1ca21a00c22c97d15f6c245b60b72973e54dea326cc7ae9e6a29e6ab8d8132,2025-03-25 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-26 22:37:23,0x8b1ca21a00c22c97d15f6c245b60b72973e54dea326cc7ae9e6a29e6ab8d8132,True,2025-03-26 22:42:35,USDC,599.94,False,True,,86712.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x2d9817442eceead5e68dbb73fb4bfd128cfcdb6cd0cc1b28fd39ff008b2a638c,2025-03-24 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-25 22:37:23,0x2d9817442eceead5e68dbb73fb4bfd128cfcdb6cd0cc1b28fd39ff008b2a638c,True,2025-03-25 22:37:35,USDC,599.94,False,True,,86412.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x8c1139c8e3e4ecc8a5cb04d7559ca04d7d216a7fe1cb17adac45fe710eacb925,2025-03-23 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-24 22:37:23,0x8c1139c8e3e4ecc8a5cb04d7559ca04d7d216a7fe1cb17adac45fe710eacb925,True,2025-03-24 22:37:35,USDC,599.94,False,True,,86412.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x34f3612cf26cf20d4aba9a824985277b45d9dcf09a69f27a656c6e7a8f599565,2025-03-22 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-23 22:37:23,0x34f3612cf26cf20d4aba9a824985277b45d9dcf09a69f27a656c6e7a8f599565,True,2025-03-23 22:42:23,USDC,599.94,False,True,,86700.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0xe85acfc1a05792aab2df6cc38985f9fd5c71b9da8ccf680443df89d9716ed40f,2025-03-21 22:37:35,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-22 22:37:35,0xe85acfc1a05792aab2df6cc38985f9fd5c71b9da8ccf680443df89d9716ed40f,True,2025-03-22 22:42:23,USDC,599.94,False,True,,86688.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x3ae811079dc0517c7fa910220b9b6f025cc13484fd317187933d16fa2dd2334f,2025-03-20 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-21 22:37:23,0x3ae811079dc0517c7fa910220b9b6f025cc13484fd317187933d16fa2dd2334f,True,2025-03-21 22:37:35,USDC,599.94,False,True,,86412.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x857a344a4e5116bea229bad0e1e6526b4a3e0cddf2bea2703ee2f0216b680ed3,2025-03-19 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-20 22:37:23,0x857a344a4e5116bea229bad0e1e6526b4a3e0cddf2bea2703ee2f0216b680ed3,True,2025-03-20 22:42:23,USDC,599.94,False,True,,86700.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0xcc8f3bbdc4d008aeb213ab4969a9d129d0a00ab4da01d234bbbebd1671fc61df,2025-03-18 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-19 22:37:23,0xcc8f3bbdc4d008aeb213ab4969a9d129d0a00ab4da01d234bbbebd1671fc61df,True,2025-03-19 22:42:35,USDC,599.94,False,True,,86712.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0xc3249200dbae4d2b1b5bb8769f68ce8680efcfaa41d12d4f89be4f57201a975f,2025-03-17 22:37:47,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-18 22:37:47,0xc3249200dbae4d2b1b5bb8769f68ce8680efcfaa41d12d4f89be4f57201a975f,True,2025-03-18 22:42:23,USDC,599.94,False,True,,86676.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x8657506f004b03754e161d1ad7322b8edcd4f52a9e594cb80a624ee6a9d1556a,2025-03-16 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-17 22:37:23,0x8657506f004b03754e161d1ad7322b8edcd4f52a9e594cb80a624ee6a9d1556a,True,2025-03-17 22:37:35,USDC,599.94,False,True,,86412.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x90db2a5dbe8be3b47b81404ed747e05652e792d60d61efcd849419ffff8f58eb,2025-03-15 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-16 22:37:23,0x90db2a5dbe8be3b47b81404ed747e05652e792d60d61efcd849419ffff8f58eb,True,2025-03-16 22:37:35,USDC,599.94,False,True,,86412.0,True,False
0x33965f7d08f61a62b86c1ab9be5d82c42f4c3081,0xd51eccb0f6c7fec4f61d5cce32795e83601effa60d92e989f6d57d2051a22c3a,2025-03-15 02:02:47,2e+18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,,2025-03-18 02:02:47,0xd51eccb0f6c7fec4f61d5cce32795e83601effa60d92e989f6d57d2051a22c3a,True,2025-03-18 02:07:23,WETH,3689.3986,False,True,,259476.0,True,False
0x33965f7d08f61a62b86c1ab9be5d82c42f4c3081,0xae87343d9684ca6e51b2d660e5cc8bd23e2683d3e76633a4b9cadb5596ecffc7,2025-03-15 01:42:47,2e+18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,,2025-03-18 01:42:47,0xae87343d9684ca6e51b2d660e5cc8bd23e2683d3e76633a4b9cadb5596ecffc7,True,2025-03-18 01:47:35,WETH,3689.3986,False,True,,259488.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x2929f00c327e69dfe101acc09fa517508bb80ef3e4f0ff167bb54466b6c85075,2025-03-14 22:37:35,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-15 22:37:35,0x2929f00c327e69dfe101acc09fa517508bb80ef3e4f0ff167bb54466b6c85075,True,2025-03-15 22:42:35,USDC,599.94,False,True,,86700.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x57bcdd5844daa7773b061bbc8d19c7b130b25fd6b2b762251f6ef400502b47ee,2025-03-13 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-14 22:37:23,0x57bcdd5844daa7773b061bbc8d19c7b130b25fd6b2b762251f6ef400502b47ee,True,2025-03-14 22:37:35,USDC,599.94,False,True,,86412.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x621640cb209b91f591f184f25d0265a7d7ccd045d0a7f32f16a94758ff3162c0,2025-03-12 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-13 22:37:23,0x621640cb209b91f591f184f25d0265a7d7ccd045d0a7f32f16a94758ff3162c0,True,2025-03-13 22:42:35,USDC,599.94,False,True,,86712.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0xcdb3f6ada6fdf76b7c1d8d88a76368b7dc786ea2fa3a167673dd7af06b3766d2,2025-03-11 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-12 22:37:23,0xcdb3f6ada6fdf76b7c1d8d88a76368b7dc786ea2fa3a167673dd7af06b3766d2,True,2025-03-12 22:37:35,USDC,599.94,False,True,,86412.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0xa020021a1c131120c064f3804974c98c3751d1f42c4ac85026234ea05acaaf6f,2025-03-10 22:38:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-11 22:38:23,0xa020021a1c131120c064f3804974c98c3751d1f42c4ac85026234ea05acaaf6f,True,2025-03-11 22:42:35,USDC,599.94,False,True,,86652.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0xd4bbf1e1999ea5e16e5fa2c39cdbabc335b9818f4483c7502a98c6e08105c044,2025-03-09 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-03-10 22:37:23,0xd4bbf1e1999ea5e16e5fa2c39cdbabc335b9818f4483c7502a98c6e08105c044,True,2025-03-10 22:37:35,USDC,599.94,False,True,,86412.0,True,False
