disputeId,total_jurors,votes_cast,votes_missed
1124,1,1,0
1125,31,28,3
1126,1,1,0
1127,1,1,0
1128,1,1,0
1129,1,1,0
1130,1,1,0
1131,1,1,0
1132,1,1,0
1133,1,1,0
1134,1,1,0
1135,4,4,0
1136,1,1,0
1137,1,1,0
1138,1,1,0
1139,1,1,0
1140,1,1,0
1141,1,1,0
1142,1,1,0
1143,1,1,0
1144,1,1,0
1145,1,1,0
1146,1,1,0
1147,1,1,0
1148,1,1,0
1149,1,1,0
1150,1,1,0
1151,11,10,1
1152,1,1,0
1153,1,1,0
1154,1,1,0
1155,3,3,0
1156,1,1,0
1157,1,1,0
1158,1,1,0
1159,1,0,1
1160,1,1,0
1161,3,2,1
1162,1,1,0
1163,1,1,0
1164,1,1,0
1165,1,1,0
1166,4,3,1
1167,1,1,0
1168,1,0,1
1169,1,1,0
1170,246,231,15
1171,1,1,0
1172,1,1,0
1173,4,4,0
1174,4,4,0
1175,4,3,1
1176,4,4,0
1177,3,3,0
1178,1,1,0
1179,3,2,1
1180,1,1,0
1181,1,1,0
1182,1,1,0
1183,1,1,0
1184,1,1,0
1185,1,1,0
1186,1,1,0
1187,1,1,0
1188,1,1,0
1189,1,1,0
1190,1,1,0
1191,1,1,0
1192,1,1,0
1193,1,1,0
1194,3,3,0
1195,3,3,0
1196,1,1,0
1197,3,3,0
1198,3,3,0
1199,1,0,1
1200,3,3,0
1201,3,3,0
1202,1,1,0
1203,1,1,0
1204,1,0,1
1205,26,24,2
1206,1,1,0
1207,3,1,2
1208,3,3,0
1209,3,3,0
1210,3,3,0
1211,56,53,3
1212,3,3,0
1213,10,10,0
1214,3,3,0
1215,3,3,0
1216,3,3,0
1217,25,25,0
1218,3,3,0
1219,1,1,0
1220,1,1,0
1221,1,0,1
1222,1,1,0
1223,1,1,0
1224,1,0,1
1225,1,1,0
1226,10,10,0
1227,1,0,1
1228,1,1,0
1229,1,1,0
1230,1,1,0
1231,1,1,0
1232,3,1,2
1233,1,1,0
1234,1,1,0
1235,1,1,0
1236,1,0,1
1237,1,1,0
1238,1,1,0
1239,1,1,0
1240,1,1,0
1241,1,1,0
1242,1,1,0
1243,3,1,2
1244,1,1,0
1245,1,0,1
1246,1,1,0
1247,1,1,0
1248,1,1,0
1249,1,1,0
1250,1,1,0
1251,1,1,0
1252,1,1,0
1253,4,3,1
1254,1,1,0
1255,3,3,0
1256,1,1,0
1257,1,1,0
1258,1,1,0
1259,11,10,1
1260,1,1,0
1261,1,1,0
1262,1,1,0
1263,1,1,0
1264,1,1,0
1265,1,1,0
1266,1,1,0
1267,1,1,0
1268,1,1,0
1269,1,1,0
1270,1,1,0
1271,1,1,0
1272,1,0,1
1273,1,1,0
1274,1,1,0
1275,1,1,0
1276,1,1,0
1277,1,1,0
1278,1,1,0
1279,1,1,0
1280,4,3,1
1281,1,1,0
1282,1,1,0
1283,1,1,0
1284,1,1,0
1285,1,1,0
1286,1,1,0
1287,1,1,0
1288,1,1,0
1289,1,1,0
1290,1,1,0
1291,1,1,0
1292,1,1,0
1293,1,1,0
1294,1,1,0
1295,1,1,0
1296,1,1,0
1297,1,1,0
1298,1,1,0
1299,1,1,0
1300,1,1,0
1301,1,1,0
1302,1,1,0
1303,1,1,0
1304,1,1,0
1305,1,1,0
1306,1,1,0
1307,1,1,0
1308,1,1,0
1309,1,1,0
1310,1,1,0
1311,1,1,0
1312,1,1,0
1313,1,1,0
1314,1,1,0
1315,1,1,0
1316,1,1,0
1317,4,3,1
1318,1,1,0
1319,1,1,0
1320,1,1,0
1321,1,1,0
1322,31,19,12
1323,1,1,0
1324,1,1,0
1325,11,9,2
1326,4,4,0
1327,1,1,0
1328,1,1,0
1329,1,1,0
1330,1,1,0
1331,1,1,0
1332,1,1,0
1333,1,1,0
1334,1,1,0
1335,1,1,0
1336,1,1,0
1337,1,1,0
1338,1,1,0
1339,1,1,0
1340,4,4,0
1341,1,1,0
1342,1,1,0
1343,11,11,0
1344,1,1,0
1345,1,1,0
1346,1,0,1
1347,31,27,4
1348,1,1,0
