juror,total_votes,votes_cast,votes_missed,vote_0,vote_1,vote_2,participation_rate
0x6996C784cdA7a2841C3a6F579C896477586A1D9A,1,1,0,0,0,0,1.0
0x69dD3A02148f37432e4509F7c034E498cBAd968E,1,0,1,0,0,0,0.0
0x6A78F926fC753955B75de9101789d22592B9edEf,2,2,0,0,0,0,1.0
0x6Bd41fCdF129297c3524395d669c0865b3CA85B2,1,0,1,0,0,0,0.0
0x6C4E6f11eA59704abf39D0BBdF3bCbc31548aB4D,10,10,0,0,0,0,1.0
0x6D01f17f5eEf3C1D47bE66414f894cC889D528Eb,2,2,0,0,0,0,1.0
0x6D7A36B2d02a2c4aFcAaCC301910E3e0155a4c37,1,0,1,0,0,0,0.0
0x6D9b4346C92ee07eCD1Cc3741f1b96929F10f7B8,34,32,2,0,0,0,0.9411764705882353
0x6EBeE13E3c9b240a0c0F02D057591005D9C17F16,2,2,0,0,0,0,1.0
0x6F5f5d2A7D9b6EA028b8eFCeab2Ff221A27ab6e3,99,97,2,0,0,0,0.9797979797979798
0x6a59b37bdE2D80878a019e824026E462192B7b66,15,11,4,0,0,0,0.7333333333333333
0x6b5830736DFf7A25bc54F7fEf8a796BAAd500b27,2,1,1,0,0,0,0.5
0x6c3E007377eFfd74afE237ce3B0Aeef969b63C91,4,3,1,0,0,0,0.75
0x6c4F296C8Ead64b83C20530669011BA321bFcaB2,1,0,1,0,0,0,0.0
0x6d9ABa400a2a487a5Fb76c6d56518835553CD284,11,11,0,0,0,0,1.0
0x6dfcd13BB235f9a7aB6B7f337900177Ab7b894fc,2,2,0,0,0,0,1.0
0x6f0A3Cff9514Bae0B86Ac300E72a1B9986074B35,4,4,0,0,0,0,1.0
0x70386416A0A4d73a873D6C07518710b2632371f4,1,0,1,0,0,0,0.0
0x71F84aA585E1EdA8852Dad8dfF3a69D114366dbA,3,3,0,0,0,0,1.0
0x71f5F235Ed83649DfC1EF51A050b29E86C2869Cf,1,1,0,0,0,0,1.0
0x731BbeF5d64Ce510CcdaB893396Ab495884a8aE4,3,0,3,0,0,0,0.0
0x733Fa895A5baaC4D774F96D48630E6277CA33351,5,5,0,0,0,0,1.0
0x7380ac41fe003d937B4535fAAf79885A3bfcfA92,7,7,0,0,0,0,1.0
0x739A8F2FdF4351592b702af11fa7A492B0f69FF8,8,4,4,0,0,0,0.5
0x73aadE0F03e5A920829a1dBc337b761496540bD0,1,0,1,0,0,0,0.0
0x742c6D3Af4eB3f3E53cAD0a78540DAb276F465B4,2,0,2,0,0,0,0.0
0x74e3591425325a35E41e0e230D7D8686c7912ab4,5,3,2,0,0,0,0.6
0x7516f9f6da5caC78ed3E4E1cD5F2d8ca6C8fb598,1,0,1,0,0,0,0.0
0x7543cDAe044DECDB07b5cCd67F2704f783daf8cA,1,0,1,0,0,0,0.0
0x7547813A31D2eFF8ebacaea457F0dC361dc46954,2,2,0,0,0,0,1.0
0x75537656bf5a4a5bb21369403621daC8f46206AB,1,1,0,0,0,0,1.0
0x7644c9C10D6A2C970BF3cb50E957e3fEAacE6CB2,12,12,0,0,0,0,1.0
0x77e09AB2Cb69D1742a58770792E471450613fBBd,4,0,4,0,0,0,0.0
0x7807B4580d45d5884b359C5a537138a1bEB21e8F,1,1,0,0,0,0,1.0
0x788177Fc9d375afBF342bfc4C7c01dEAD0BF0E8a,3,3,0,0,0,0,1.0
0x78CA63EaBAE22125cC8D16Ef66d595432D1A240e,8,8,0,0,0,0,1.0
0x78b9E3a7a1845C3cA7aB7D19B9fA20F11a87dA56,1,0,1,0,0,0,0.0
0x78f91758dfef63C877c9304890B6b262CEEc8A41,1,1,0,0,0,0,1.0
0x79206B9EE1b48Ad2eE925aC0f119A4DE93509F97,3,3,0,0,0,0,1.0
0x7Aa4E583626d0B4D5393132F4Cf991EC8Ff6F526,1,1,0,0,0,0,1.0
0x7B35772A63dcE9B0e8E97fA0a410B2c4D76381Bd,3,0,3,0,0,0,0.0
0x7BaefD3ef84970077FFb5d8D7AA70eA55DBa97a8,7,6,1,0,0,0,0.8571428571428571
0x7C5BD19Fed8325fD060eA2A61DD7cE6Fe3E13C80,8,8,0,0,0,0,1.0
0x7Cbd13bb95B9D8A26f65234AA2867652426E133d,1,0,1,0,0,0,0.0
0x7F3E15B319d2464b2e8af3f5590C30df96D99da3,6,6,0,0,0,0,1.0
0x7a05B7419cd36D4F2DF42Ac6c2505013e996d9E3,14,14,0,0,0,0,1.0
0x7b7545b2fe5846a94bB105d56a5eC7b380A205C7,2,1,1,0,0,0,0.5
0x7b87Fdcc70Db29777Ba00018DC3F827309a004CE,2,0,2,0,0,0,0.0
0x7d400462dB97672Cf764Af23c11a29cEceaB6B8c,19,18,1,0,0,0,0.9473684210526315
0x7e87c1d5c8f74b293DCCCFad4ec9b663D7Aa9c7b,1,0,1,0,0,0,0.0
0x7fe15a3DBbb0aAA4Dec351d9F6fE7FfB5490E86C,4,4,0,0,0,0,1.0
0x819C9853Eb5b1f164bd026A96Cca9A9aCDCCdc23,1,0,1,0,0,0,0.0
0x81C69A185076558c2766c79aa96b555DF019C167,9,8,1,0,0,0,0.8888888888888888
